codigo_municipio,municipio,grupo,variable,mes,total-H,total-M,TOTAL-H1,TOTAL-M1,TOTAL
21003,CAJUATA,violencia intrafamiliar,violencia contra la nina,2001-01-01,1,0,1,0,1
50202,CHAYANTA,violencia intrafamiliar,violencia contra la nina,2001-01-01,17,0,17,0,17
21701,COPACABANA,violencia intrafamiliar,violencia contra la nina,2001-01-01,2,0,2,0,2
50601,COTAGAITA,violencia intrafamiliar,violencia contra la nina,2001-01-01,1,0,1,0,1
10902,CULPINA,violencia intrafamiliar,violencia contra la nina,2001-01-01,1,0,1,0,1
20105,EL ALTO,violencia intrafamiliar,violencia contra la nina,2001-01-01,3,0,3,0,3
10502,HUACARETA,violencia intrafamiliar,violencia contra la nina,2001-01-01,3,0,3,0,3
10903,LAS CARRERAS,violencia intrafamiliar,violencia contra la nina,2001-01-01,1,0,1,0,1
50203,LLALLAGUA,violencia intrafamiliar,violencia contra la nina,2001-01-01,1,0,1,0,1
31202,POJO (CBBA),violencia intrafamiliar,violencia contra la nina,2001-01-01,1,0,1,0,1
40601,POOPO,violencia intrafamiliar,violencia contra la nina,2001-01-01,1,0,1,0,1
50902,SAN PEDRO DE QUEMES,violencia intrafamiliar,violencia contra la nina,2001-01-01,1,0,1,0,1
20601,SORATA,violencia intrafamiliar,violencia contra la nina,2001-01-01,1,0,1,0,1
20803,TIAWANACU,violencia intrafamiliar,violencia contra la nina,2001-01-01,1,0,1,0,1
31601,TIRAQUE (CBBA),violencia intrafamiliar,violencia contra la nina,2001-01-01,1,0,1,0,1
41001,TOLEDO,violencia intrafamiliar,violencia contra la nina,2001-01-01,3,0,3,0,3
10402,TOMINA,violencia intrafamiliar,violencia contra la nina,2001-01-01,1,0,1,0,1
20105,EL ALTO,violencia intrafamiliar,violencia contra la nina,2001-02-01,12,0,12,0,12
70105,EL TORNO,violencia intrafamiliar,violencia contra la nina,2001-02-01,1,0,1,0,1
40701,HUANUNI,violencia intrafamiliar,violencia contra la nina,2001-02-01,2,0,2,0,2
20101,LA PAZ,violencia intrafamiliar,violencia contra la nina,2001-02-01,2,0,2,0,2
80601,LORETO,violencia intrafamiliar,violencia contra la nina,2001-02-01,1,0,1,0,1
71001,MONTERO,violencia intrafamiliar,violencia contra la nina,2001-02-01,4,0,4,0,4
40101,ORURO,violencia intrafamiliar,violencia contra la nina,2001-02-01,2,0,2,0,2
50101,POTOSI,violencia intrafamiliar,violencia contra la nina,2001-02-01,1,0,1,0,1
41401,SANTIAGO DE HUARI,violencia intrafamiliar,violencia contra la nina,2001-02-01,1,0,1,0,1
21301,SICA SICA (VILLA AROMA),violencia intrafamiliar,violencia contra la nina,2001-02-01,1,0,1,0,1
10101,SUCRE,violencia intrafamiliar,violencia contra la nina,2001-02-01,4,0,4,0,4
10601,TARABUCO,violencia intrafamiliar,violencia contra la nina,2001-02-01,25,0,25,0,25
30201,AIQUILE,violencia intrafamiliar,violencia contra la nina,2001-03-01,7,0,7,0,7
10201,AZURDUY,violencia intrafamiliar,violencia contra la nina,2001-03-01,1,0,1,0,1
90104,BELLA FLOR,violencia intrafamiliar,violencia contra la nina,2001-03-01,1,0,1,0,1
22001,CARANAVI,violencia intrafamiliar,violencia contra la nina,2001-03-01,1,0,1,0,1
90101,COBIJA,violencia intrafamiliar,violencia contra la nina,2001-03-01,1,0,1,0,1
30101,COCHABAMBA,violencia intrafamiliar,violencia contra la nina,2001-03-01,2,0,2,0,2
20605,COMBAYA,violencia intrafamiliar,violencia contra la nina,2001-03-01,1,0,1,0,1
21701,COPACABANA,violencia intrafamiliar,violencia contra la nina,2001-03-01,1,0,1,0,1
21501,IXIAMAS,violencia intrafamiliar,violencia contra la nina,2001-03-01,1,0,1,0,1
71001,MONTERO,violencia intrafamiliar,violencia contra la nina,2001-03-01,4,0,4,0,4
10401,PADILLA,violencia intrafamiliar,violencia contra la nina,2001-03-01,1,0,1,0,1
21104,PALOS BLANCOS,violencia intrafamiliar,violencia contra la nina,2001-03-01,1,0,1,0,1
70103,PORONGO,violencia intrafamiliar,violencia contra la nina,2001-03-01,1,0,1,0,1
50101,POTOSI,violencia intrafamiliar,violencia contra la nina,2001-03-01,2,0,2,0,2
71104,SAN JULIAN,violencia intrafamiliar,violencia contra la nina,2001-03-01,1,0,1,0,1
10601,TARABUCO,violencia intrafamiliar,violencia contra la nina,2001-03-01,10,0,10,0,10
80101,TRINIDAD,violencia intrafamiliar,violencia contra la nina,2001-03-01,1,0,1,0,1
51501,VILLAZON,violencia intrafamiliar,violencia contra la nina,2001-03-01,1,0,1,0,1
70403,YAPACANI,violencia intrafamiliar,violencia contra la nina,2001-03-01,1,0,1,0,1
30201,AIQUILE,violencia intrafamiliar,violencia contra la nina,2001-04-01,4,0,4,0,4
30501,ARANI,violencia intrafamiliar,violencia contra la nina,2001-04-01,1,0,1,0,1
71501,ASCENCION DE GUARAYOS,violencia intrafamiliar,violencia contra la nina,2001-04-01,1,0,1,0,1
40102,CARACOLLO,violencia intrafamiliar,violencia contra la nina,2001-04-01,1,0,1,0,1
20804,DESAGUADERO,violencia intrafamiliar,violencia contra la nina,2001-04-01,1,0,1,0,1
20105,EL ALTO,violencia intrafamiliar,violencia contra la nina,2001-04-01,2,0,2,0,2
80803,HUARACAJE,violencia intrafamiliar,violencia contra la nina,2001-04-01,1,0,1,0,1
21005,ICHOCA,violencia intrafamiliar,violencia contra la nina,2001-04-01,1,0,1,0,1
50203,LLALLAGUA,violencia intrafamiliar,violencia contra la nina,2001-04-01,2,0,2,0,2
11003,MACHARETI,violencia intrafamiliar,violencia contra la nina,2001-04-01,1,0,1,0,1
21104,PALOS BLANCOS,violencia intrafamiliar,violencia contra la nina,2001-04-01,2,0,2,0,2
31205,PUERTO VILLARROEL,violencia intrafamiliar,violencia contra la nina,2001-04-01,1,0,1,0,1
70301,SAN IGNACIO DE VELASCO,violencia intrafamiliar,violencia contra la nina,2001-04-01,5,0,5,0,5
71104,SAN JULIAN,violencia intrafamiliar,violencia contra la nina,2001-04-01,1,0,1,0,1
10101,SUCRE,violencia intrafamiliar,violencia contra la nina,2001-04-01,1,0,1,0,1
30903,TIQUIPAYA,violencia intrafamiliar,violencia contra la nina,2001-04-01,2,0,2,0,2
31201,TOTORA(CBBA),violencia intrafamiliar,violencia contra la nina,2001-04-01,1,0,1,0,1
70403,YAPACANI,violencia intrafamiliar,violencia contra la nina,2001-04-01,1,0,1,0,1
30201,AIQUILE,violencia intrafamiliar,violencia contra la nina,2001-05-01,2,0,2,0,2
30601,ARQUE,violencia intrafamiliar,violencia contra la nina,2001-05-01,1,0,1,0,1
60202,BERMEJO,violencia intrafamiliar,violencia contra la nina,2001-05-01,1,0,1,0,1
22001,CARANAVI,violencia intrafamiliar,violencia contra la nina,2001-05-01,1,0,1,0,1
30101,COCHABAMBA,violencia intrafamiliar,violencia contra la nina,2001-05-01,16,0,16,0,16
50401,COLQUECHACA,violencia intrafamiliar,violencia contra la nina,2001-05-01,1,0,1,0,1
21701,COPACABANA,violencia intrafamiliar,violencia contra la nina,2001-05-01,1,0,1,0,1
20105,EL ALTO,violencia intrafamiliar,violencia contra la nina,2001-05-01,3,0,3,0,3
90203,FILADELFIA,violencia intrafamiliar,violencia contra la nina,2001-05-01,1,0,1,0,1
71002,GENERAL SAAVEDRA,violencia intrafamiliar,violencia contra la nina,2001-05-01,1,0,1,0,1
70104,LA GUARDIA,violencia intrafamiliar,violencia contra la nina,2001-05-01,1,0,1,0,1
20101,LA PAZ,violencia intrafamiliar,violencia contra la nina,2001-05-01,5,0,5,0,5
50203,LLALLAGUA,violencia intrafamiliar,violencia contra la nina,2001-05-01,2,0,2,0,2
71001,MONTERO,violencia intrafamiliar,violencia contra la nina,2001-05-01,1,0,1,0,1
21104,PALOS BLANCOS,violencia intrafamiliar,violencia contra la nina,2001-05-01,2,0,2,0,2
40602,PAZÑA,violencia intrafamiliar,violencia contra la nina,2001-05-01,1,0,1,0,1
31205,PUERTO VILLARROEL,violencia intrafamiliar,violencia contra la nina,2001-05-01,1,0,1,0,1
31001,SACABA,violencia intrafamiliar,violencia contra la nina,2001-05-01,1,0,1,0,1
