codigo_municipio,municipio,grupo,variable,mes,hombres de 6 meses,mujeres menores a 6 meses,hombres de 6 meses a 1 año,mujeres de 6 meses a 1 año,hombres de 1 a 4 años,mujeres de 1 a 4 años,hombres de 5 a 9 años,mujeres de 5 a 9 años,hombres de 10 a 14 años,mujeres de 10 a 14 años,hombres de 15 a 19 años,mujeres de 15 a 19 años,hombres de 20 a 39 años,mujeres de 20 a 39 años,hombres de 40 a 49 años,mujeres de 40 a 49 años,hombres de 50 a 59 años,mujeres de 50 a 59 años,hombres de 60 y más años,mujeres de 60 y más años,dentro de establecimientos total,fuera de establecimientos total,total
20201,ACHACACHI,"violencia, hechos de transito y accidentes","violencia sexual (familiar, domestica y/o en otros ambitos)",2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
30201,AIQUILE,"violencia, hechos de transito y accidentes","violencia sexual (familiar, domestica y/o en otros ambitos)",2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
20503,AUCAPATA,"violencia, hechos de transito y accidentes","violencia sexual (familiar, domestica y/o en otros ambitos)",2019-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
70706,CAMIRI,"violencia, hechos de transito y accidentes","violencia sexual (familiar, domestica y/o en otros ambitos)",2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
21101,CHULUMANI (V. DE LA LIBERTAD),"violencia, hechos de transito y accidentes","violencia sexual (familiar, domestica y/o en otros ambitos)",2019-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
90101,COBIJA,"violencia, hechos de transito y accidentes","violencia sexual (familiar, domestica y/o en otros ambitos)",2019-01-01,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2
30101,COCHABAMBA,"violencia, hechos de transito y accidentes","violencia sexual (familiar, domestica y/o en otros ambitos)",2019-01-01,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,3
71301,COMARAPA,"violencia, hechos de transito y accidentes","violencia sexual (familiar, domestica y/o en otros ambitos)",2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,2,4
20105,EL ALTO,"violencia, hechos de transito y accidentes","violencia sexual (familiar, domestica y/o en otros ambitos)",2019-01-01,0,0,0,0,0,2,0,1,1,4,0,3,0,2,1,3,0,0,0,0,2,15,17
31206,ENTRE RIOS CBBA,"violencia, hechos de transito y accidentes","violencia sexual (familiar, domestica y/o en otros ambitos)",2019-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
