codigo_municipio,municipio,grupo,variable,mes,hombres de 1 año,mujeres de 1 año,hombres de 1 a 4 años,mujeres de 1 a 4 años,hombres de 5 a 9 años,mujeres de 5 a 9 años,hombres de 10 a 20 años,mujeres de 10 a 20 años,hombres de 21 a 59 años,mujeres de 21 a 59 años,hombres de 60 y más años,mujeres de 60 y más años,hombres total,mujeres total,total
20201,ACHACACHI,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
30201,AIQUILE,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
30601,ARQUE,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
71501,ASCENCION DE GUARAYOS,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,2,5,0,0,2,5,7
20502,AYATA,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2
70707,BOYUIBE,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
51102,"CAIZA ""D""",violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
70706,CAMIRI,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
30701,CAPINOTA,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,1,2,1,0,2,2,4
40102,CARACOLLO,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
22001,CARANAVI,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3
60302,CARAPARI,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
21902,CATACORA,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
40201,CHALLAPATA,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
21101,CHULUMANI (V. DE LA LIBERTAD),violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
30801,CLIZA,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
30101,COCHABAMBA,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,1,1,0,3,0,9,0,0,1,13,14
31002,COLOMI,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,3,0,5,0,0,0,8,8
70603,COLPA BELGICA,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
21306,COLQUENCHA,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
71301,COMARAPA,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3
21701,COPACABANA,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
21401,COROICO,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4
70102,COTOCA,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
71106,CUATRO CAÑADAS,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
10902,CULPINA,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
