codigo_municipio,municipio,grupo,variable,mes,total-H,total-M,TOTAL-H1,TOTAL-M1,TOTAL
30201,AIQUILE,violencia intrafamiliar,violencia contra el nino,2001-01-01,3,0,3,0,3
50202,CHAYANTA,violencia intrafamiliar,violencia contra el nino,2001-01-01,25,0,25,0,25
31002,COLOMI,violencia intrafamiliar,violencia contra el nino,2001-01-01,1,0,1,0,1
50601,COTAGAITA,violencia intrafamiliar,violencia contra el nino,2001-01-01,1,0,1,0,1
20105,EL ALTO,violencia intrafamiliar,violencia contra el nino,2001-01-01,3,0,3,0,3
10903,LAS CARRERAS,violencia intrafamiliar,violencia contra el nino,2001-01-01,4,0,4,0,4
10501,MONTEAGUDO,violencia intrafamiliar,violencia contra el nino,2001-01-01,1,0,1,0,1
31203,POCONA,violencia intrafamiliar,violencia contra el nino,2001-01-01,2,0,2,0,2
80101,TRINIDAD,violencia intrafamiliar,violencia contra el nino,2001-01-01,1,0,1,0,1
10602,YAMPARAEZ,violencia intrafamiliar,violencia contra el nino,2001-01-01,1,0,1,0,1
20303,CALACOTO,violencia intrafamiliar,violencia contra el nino,2001-02-01,1,0,1,0,1
20804,DESAGUADERO,violencia intrafamiliar,violencia contra el nino,2001-02-01,2,0,2,0,2
20105,EL ALTO,violencia intrafamiliar,violencia contra el nino,2001-02-01,9,0,9,0,9
80601,LORETO,violencia intrafamiliar,violencia contra el nino,2001-02-01,1,0,1,0,1
71001,MONTERO,violencia intrafamiliar,violencia contra el nino,2001-02-01,1,0,1,0,1
50404,OCURI,violencia intrafamiliar,violencia contra el nino,2001-02-01,1,0,1,0,1
40101,ORURO,violencia intrafamiliar,violencia contra el nino,2001-02-01,1,0,1,0,1
31205,PUERTO VILLARROEL,violencia intrafamiliar,violencia contra el nino,2001-02-01,1,0,1,0,1
70402,SAN CARLOS,violencia intrafamiliar,violencia contra el nino,2001-02-01,1,0,1,0,1
10101,SUCRE,violencia intrafamiliar,violencia contra el nino,2001-02-01,2,0,2,0,2
10601,TARABUCO,violencia intrafamiliar,violencia contra el nino,2001-02-01,5,0,5,0,5
41001,TOLEDO,violencia intrafamiliar,violencia contra el nino,2001-02-01,1,0,1,0,1
80101,TRINIDAD,violencia intrafamiliar,violencia contra el nino,2001-02-01,1,0,1,0,1
20801,VIACHA,violencia intrafamiliar,violencia contra el nino,2001-02-01,1,0,1,0,1
20201,ACHACACHI,violencia intrafamiliar,violencia contra el nino,2001-03-01,1,0,1,0,1
30201,AIQUILE,violencia intrafamiliar,violencia contra el nino,2001-03-01,4,0,4,0,4
10701,CAMARGO,violencia intrafamiliar,violencia contra el nino,2001-03-01,1,0,1,0,1
20105,EL ALTO,violencia intrafamiliar,violencia contra el nino,2001-03-01,2,0,2,0,2
40701,HUANUNI,violencia intrafamiliar,violencia contra el nino,2001-03-01,1,0,1,0,1
20101,LA PAZ,violencia intrafamiliar,violencia contra el nino,2001-03-01,1,0,1,0,1
71001,MONTERO,violencia intrafamiliar,violencia contra el nino,2001-03-01,1,0,1,0,1
90501,NUEVO MANOA (NUEVA ESPERANZA),violencia intrafamiliar,violencia contra el nino,2001-03-01,1,0,1,0,1
40602,PAZÑA,violencia intrafamiliar,violencia contra el nino,2001-03-01,1,0,1,0,1
50101,POTOSI,violencia intrafamiliar,violencia contra el nino,2001-03-01,1,0,1,0,1
30901,QUILLACOLLO,violencia intrafamiliar,violencia contra el nino,2001-03-01,2,0,2,0,2
31001,SACABA,violencia intrafamiliar,violencia contra el nino,2001-03-01,1,0,1,0,1
80702,SAN RAMON,violencia intrafamiliar,violencia contra el nino,2001-03-01,1,0,1,0,1
41401,SANTIAGO DE HUARI,violencia intrafamiliar,violencia contra el nino,2001-03-01,1,0,1,0,1
30902,SIPE SIPE,violencia intrafamiliar,violencia contra el nino,2001-03-01,1,0,1,0,1
10601,TARABUCO,violencia intrafamiliar,violencia contra el nino,2001-03-01,10,0,10,0,10
50102,TINGUIPAYA,violencia intrafamiliar,violencia contra el nino,2001-03-01,1,0,1,0,1
31601,TIRAQUE (CBBA),violencia intrafamiliar,violencia contra el nino,2001-03-01,1,0,1,0,1
60401,URIONDO (A. CONCEPCION),violencia intrafamiliar,violencia contra el nino,2001-03-01,1,0,1,0,1
70201,WARNES,violencia intrafamiliar,violencia contra el nino,2001-03-01,1,0,1,0,1
30201,AIQUILE,violencia intrafamiliar,violencia contra el nino,2001-04-01,2,0,2,0,2
20501,CHUMA,violencia intrafamiliar,violencia contra el nino,2001-04-01,1,0,1,0,1
30101,COCHABAMBA,violencia intrafamiliar,violencia contra el nino,2001-04-01,1,0,1,0,1
21401,COROICO,violencia intrafamiliar,violencia contra el nino,2001-04-01,1,0,1,0,1
20105,EL ALTO,violencia intrafamiliar,violencia contra el nino,2001-04-01,1,0,1,0,1
80803,HUARACAJE,violencia intrafamiliar,violencia contra el nino,2001-04-01,1,0,1,0,1
20101,LA PAZ,violencia intrafamiliar,violencia contra el nino,2001-04-01,1,0,1,0,1
50203,LLALLAGUA,violencia intrafamiliar,violencia contra el nino,2001-04-01,1,0,1,0,1
21104,PALOS BLANCOS,violencia intrafamiliar,violencia contra el nino,2001-04-01,1,0,1,0,1
40602,PAZÑA,violencia intrafamiliar,violencia contra el nino,2001-04-01,2,0,2,0,2
21201,PUCARANI,violencia intrafamiliar,violencia contra el nino,2001-04-01,1,0,1,0,1
70301,SAN IGNACIO DE VELASCO,violencia intrafamiliar,violencia contra el nino,2001-04-01,4,0,4,0,4
80401,SANTA ANA,violencia intrafamiliar,violencia contra el nino,2001-04-01,1,0,1,0,1
70101,SANTA CRUZ DE LA SIERRA,violencia intrafamiliar,violencia contra el nino,2001-04-01,1,0,1,0,1
30902,SIPE SIPE,violencia intrafamiliar,violencia contra el nino,2001-04-01,1,0,1,0,1
30903,TIQUIPAYA,violencia intrafamiliar,violencia contra el nino,2001-04-01,1,0,1,0,1
