codigo_municipio,municipio,grupo,variable,mes,número de eventos,número de afectados,número de fallecidos,total
10901,CAMATAQUI (C. VILLA ABECIA),registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-01-01,1.0,20.0,0.0,21.0
20501,CHUMA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-01-01,1.0,180.0,0.0,181.0
30303,COCAPATA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-01-01,18.0,0.0,0.0,18.0
50601,COTAGAITA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-01-01,1.0,10.0,0.0,11.0
10304,ICLA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-01-01,8.0,2377.0,0.0,2385.0
70803,MORO MORO,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-01-01,1.0,8.0,0.0,9.0
10702,SAN LUCAS,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-01-01,3.0,548.0,0.0,551.0
10202,TARVITA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-01-01,2.0,62.0,0.0,64.0
10201,AZURDUY,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-02-01,0.0,4.0,0.0,4.0
30303,COCAPATA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-02-01,11.0,0.0,0.0,11.0
80202,GUAYARAMERIN,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-02-01,1.0,67.0,0.0,68.0
10304,ICLA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-02-01,1.0,3.0,0.0,4.0
51102,"CAIZA ""D""",registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-03-01,2.0,53.0,0.0,55.0
51101,PUNA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-03-01,1.0,61.0,0.0,62.0
51501,VILLAZON,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-03-01,9.0,668.0,0.0,677.0
10201,AZURDUY,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-04-01,1.0,25.0,0.0,26.0
50402,RAVELO,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-04-01,1.0,3.0,0.0,4.0
50501,SAN PEDRO DE BUENA VISTA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-04-01,1.0,10.0,0.0,11.0
10201,AZURDUY,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-05-01,3.0,330.0,0.0,333.0
30303,COCAPATA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-05-01,5.0,0.0,0.0,5.0
70803,MORO MORO,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-05-01,1.0,0.0,0.0,1.0
70805,PUCARA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-05-01,2.0,0.0,0.0,2.0
70801,VALLEGRANDE,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-05-01,2.0,1263.0,0.0,1265.0
30303,COCAPATA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-06-01,11.0,0.0,0.0,11.0
30303,COCAPATA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-07-01,24.0,0.0,0.0,24.0
70805,PUCARA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-07-01,1.0,0.0,0.0,1.0
70501,SAN JOSE DE CHIQUITOS,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-07-01,1.0,0.0,0.0,1.0
10201,AZURDUY,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-09-01,3.0,53.0,0.0,56.0
30303,COCAPATA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-09-01,20.0,0.0,0.0,20.0
70701,LAGUNILLAS,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-09-01,1.0,286.0,0.0,287.0
10501,MONTEAGUDO,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-09-01,1.0,15.0,0.0,16.0
10401,PADILLA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-09-01,1.0,20.0,0.0,21.0
10201,AZURDUY,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-10-01,2.0,17.0,0.0,19.0
50301,BETANZOS,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-10-01,1.0,600.0,0.0,601.0
30801,CLIZA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-10-01,1.0,0.0,0.0,1.0
30303,COCAPATA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-10-01,5.0,0.0,0.0,5.0
10401,PADILLA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-10-01,1.0,44.0,0.0,45.0
10702,SAN LUCAS,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-10-01,3.0,164.0,0.0,167.0
70801,VALLEGRANDE,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-10-01,2.0,100.0,0.0,102.0
10201,AZURDUY,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-11-01,0.0,30.0,0.0,30.0
