codigo_municipio,municipio,grupo,variable,mes,menores a 1 año,de 1 a 4 años,de 5 a 14 años,de 15 a 59 años,de 60 y más años,total
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2004-01-01,0.0,0.0,1.0,1.0,0.0,2.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2004-02-01,0.0,0.0,0.0,1.0,0.0,1.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2004-03-01,0.0,0.0,0.0,1.0,0.0,1.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2004-05-01,0.0,0.0,0.0,1.0,0.0,1.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2004-06-01,0.0,0.0,0.0,1.0,0.0,1.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2004-06-01,0.0,0.0,0.0,1.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2004-08-01,0.0,0.0,0.0,1.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2004-09-01,0.0,0.0,0.0,1.0,0.0,1.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2004-10-01,0.0,0.0,0.0,3.0,0.0,3.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2004-11-01,0.0,0.0,0.0,1.0,0.0,1.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2005-02-01,0.0,0.0,0.0,1.0,0.0,1.0
60401,URIONDO (A. CONCEPCION),sospecha diagnostica,enfer. por hanta virus,2005-02-01,0.0,0.0,0.0,1.0,0.0,1.0
31204,CHIMORE,sospecha diagnostica,enfer. por hanta virus,2005-03-01,0.0,0.0,0.0,1.0,0.0,1.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2005-03-01,0.0,0.0,0.0,2.0,0.0,2.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2005-04-01,0.0,0.0,1.0,4.0,0.0,5.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2005-05-01,0.0,0.0,0.0,1.0,0.0,1.0
71005,SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2005-05-01,0.0,0.0,0.0,1.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2005-05-01,0.0,0.0,0.0,1.0,0.0,1.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2005-05-01,0.0,0.0,0.0,3.0,0.0,3.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2005-05-01,0.0,0.0,2.0,1.0,0.0,3.0
71005,SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2005-06-01,0.0,0.0,0.0,2.0,0.0,2.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2005-06-01,0.0,0.0,0.0,4.0,0.0,4.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2005-06-01,0.0,0.0,1.0,1.0,0.0,2.0
71001,MONTERO,sospecha diagnostica,enfer. por hanta virus,2005-07-01,0.0,0.0,0.0,1.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2005-07-01,0.0,1.0,0.0,0.0,0.0,1.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2005-07-01,0.0,0.0,0.0,2.0,0.0,2.0
71005,SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2005-08-01,0.0,0.0,0.0,1.0,0.0,1.0
