codigo_municipio,municipio,grupo,variable,mes,de-1-ano_masculino,de-1-ano-1_femenino,1-a-menor-de-2-anos_masculino,1-a-menor-de-2-anos-1_femenino,2-a-menor-de-5-anos_masculino,2-a-menor-de-5-anos-1_femenino,totales_total-m,totales-1_total-f,totales-2_total
20201,ACHACACHI,talla para la edad (t/e),talla baja (tb),2008-01-01,6,3,7,2,7,7,20,12,32
20104,ACHOCALLA,talla para la edad (t/e),talla baja (tb),2008-01-01,2,1,2,2,1,3,5,6,11
41201,ANDAMARCA,talla para la edad (t/e),talla baja (tb),2008-01-01,2,1,5,4,4,7,11,12,23
40603,ANTEQUERA,talla para la edad (t/e),talla baja (tb),2008-01-01,17,8,13,5,25,15,55,28,83
30402,ANZALDO,talla para la edad (t/e),talla baja (tb),2008-01-01,2,4,3,5,7,5,12,14,26
20701,APOLO,talla para la edad (t/e),talla baja (tb),2008-01-01,1,5,1,6,7,4,9,15,24
30501,ARANI,talla para la edad (t/e),talla baja (tb),2008-01-01,5,1,3,0,3,3,11,4,15
30403,ARBIETO,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,1,2,0,0,1,2,3
71501,ASCENCION DE GUARAYOS,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,0,1,0,0,0,1,1
50802,ATOCHA,talla para la edad (t/e),talla baja (tb),2008-01-01,4,8,12,11,10,19,26,38,64
20503,AUCAPATA,talla para la edad (t/e),talla baja (tb),2008-01-01,2,1,8,9,14,7,24,17,41
20502,AYATA,talla para la edad (t/e),talla baja (tb),2008-01-01,9,12,12,6,16,15,37,33,70
21203,BATALLAS,talla para la edad (t/e),talla baja (tb),2008-01-01,18,7,13,17,22,14,53,38,91
80802,BAURES,talla para la edad (t/e),talla baja (tb),2008-01-01,2,3,2,2,9,11,13,16,29
60202,BERMEJO,talla para la edad (t/e),talla baja (tb),2008-01-01,2,0,0,1,2,1,4,2,6
50301,BETANZOS,talla para la edad (t/e),talla baja (tb),2008-01-01,0,2,6,2,12,7,18,11,29
21304,CALAMARCA,talla para la edad (t/e),talla baja (tb),2008-01-01,2,1,0,0,0,0,2,1,3
10701,CAMARGO,talla para la edad (t/e),talla baja (tb),2008-01-01,15,13,28,12,26,22,69,47,116
40102,CARACOLLO,talla para la edad (t/e),talla baja (tb),2008-01-01,6,3,5,4,17,16,28,23,51
50702,CARIPUYO,talla para la edad (t/e),talla baja (tb),2008-01-01,25,17,35,17,69,88,129,122,251
71403,CARMEN RIVERO TORREZ,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,3,6,3,1,6,7,13
21902,CATACORA,talla para la edad (t/e),talla baja (tb),2008-01-01,2,0,0,1,5,4,7,5,12
40201,CHALLAPATA,talla para la edad (t/e),talla baja (tb),2008-01-01,20,23,16,30,48,37,84,90,174
50302,CHAQUI,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,2,0,0,2,2,2,4
50202,CHAYANTA,talla para la edad (t/e),talla baja (tb),2008-01-01,2,1,2,4,15,15,19,20,39
20501,CHUMA,talla para la edad (t/e),talla baja (tb),2008-01-01,13,12,24,21,39,30,76,63,139
30801,CLIZA,talla para la edad (t/e),talla baja (tb),2008-01-01,6,2,13,11,7,4,26,17,43
40902,COIPASA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,0,0,1,0,1,0,1
30905,COLCAPIRHUA,talla para la edad (t/e),talla baja (tb),2008-01-01,2,0,2,5,1,2,5,7,12
50901,"COLCHA ""K""",talla para la edad (t/e),talla baja (tb),2008-01-01,3,1,1,2,2,2,6,5,11
21307,COLLANA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,0,1,0,4,0,5,5
31002,COLOMI,talla para la edad (t/e),talla baja (tb),2008-01-01,7,5,10,15,15,15,32,35,67
21306,COLQUENCHA,talla para la edad (t/e),talla baja (tb),2008-01-01,6,5,12,6,11,11,29,22,51
21004,COLQUIRI,talla para la edad (t/e),talla baja (tb),2008-01-01,20,16,18,13,38,32,76,61,137
21701,COPACABANA,talla para la edad (t/e),talla baja (tb),2008-01-01,4,10,9,8,13,14,26,32,58
21402,CORIPATA,talla para la edad (t/e),talla baja (tb),2008-01-01,3,2,2,0,1,0,6,2,8
20301,CORO CORO,talla para la edad (t/e),talla baja (tb),2008-01-01,3,1,3,2,5,3,11,6,17
21401,COROICO,talla para la edad (t/e),talla baja (tb),2008-01-01,6,12,3,12,9,19,18,43,61
40301,CORQUE,talla para la edad (t/e),talla baja (tb),2008-01-01,3,3,2,1,5,2,10,6,16
50601,COTAGAITA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,4,3,3,7,7,10,17
40401,CURAHUARA DE CARANGAS,talla para la edad (t/e),talla baja (tb),2008-01-01,7,4,8,12,5,6,20,22,42
21602,CURVA,talla para la edad (t/e),talla baja (tb),2008-01-01,2,0,3,3,11,7,16,10,26
20804,DESAGUADERO,talla para la edad (t/e),talla baja (tb),2008-01-01,2,2,4,5,4,5,10,12,22
20105,EL ALTO,talla para la edad (t/e),talla baja (tb),2008-01-01,189,136,198,150,178,171,565,457,1022
40103,EL CHORO,talla para la edad (t/e),talla baja (tb),2008-01-01,6,2,7,8,12,5,25,15,40
60601,ENTRE RIOS,talla para la edad (t/e),talla baja (tb),2008-01-01,3,3,6,6,9,5,18,14,32
41101,EUCALIPTUS,talla para la edad (t/e),talla baja (tb),2008-01-01,1,0,3,3,7,7,11,10,21
21601,GRAL. J.J. PEREZ (CHARAZANI),talla para la edad (t/e),talla baja (tb),2008-01-01,11,4,10,7,20,20,41,31,72
20802,GUAQUI,talla para la edad (t/e),talla baja (tb),2008-01-01,2,4,5,0,1,1,8,5,13
70705,GUTIERREZ,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,3,11,9,8,12,19,31
40501,HUACHACALLA,talla para la edad (t/e),talla baja (tb),2008-01-01,1,0,0,1,2,1,3,2,5
40701,HUANUNI,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,2,1,1,1,3,2,5
80803,HUARACAJE,talla para la edad (t/e),talla baja (tb),2008-01-01,1,0,1,1,3,6,5,7,12
41601,HUAYLLAMARCA,talla para la edad (t/e),talla baja (tb),2008-01-01,3,1,1,2,5,2,9,5,14
21005,ICHOCA,talla para la edad (t/e),talla baja (tb),2008-01-01,1,2,2,1,8,7,11,10,21
10304,ICLA,talla para la edad (t/e),talla baja (tb),2008-01-01,18,21,42,35,129,108,189,164,353
10703,INCAHUASI,talla para la edad (t/e),talla baja (tb),2008-01-01,1,0,4,5,4,10,9,15,24
21001,INQUISIVI,talla para la edad (t/e),talla baja (tb),2008-01-01,4,2,13,14,9,9,26,25,51
21501,IXIAMAS,talla para la edad (t/e),talla baja (tb),2008-01-01,3,1,2,1,8,7,13,9,22
20806,JESUS DE MACHACA,talla para la edad (t/e),talla baja (tb),2008-01-01,11,17,13,12,21,18,45,47,92
20101,LA PAZ,talla para la edad (t/e),talla baja (tb),2008-01-01,93,71,52,51,83,59,228,181,409
21202,LAJA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,2,4,2,3,2,7,6,13
10903,LAS CARRERAS,talla para la edad (t/e),talla baja (tb),2008-01-01,1,0,0,0,1,0,2,0,2
21006,LICOMA PAMPA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,1,1,1,4,3,5,5,10
51401,LLICA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,1,3,1,1,2,4,4,8
20901,LURIBAY,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,2,3,8,5,10,8,18
40702,MACHACAMARCA,talla para la edad (t/e),talla baja (tb),2008-01-01,1,0,2,1,2,1,5,2,7
80801,MAGDALENA,talla para la edad (t/e),talla baja (tb),2008-01-01,1,0,0,2,0,0,1,2,3
31301,MIZQUE,talla para la edad (t/e),talla baja (tb),2008-01-01,1,0,1,2,3,3,5,5,10
51002,MOJINETE,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,1,0,0,0,1,0,1
70803,MORO MORO,talla para la edad (t/e),talla baja (tb),2008-01-01,1,2,1,6,5,3,7,11,18
30302,MOROCHATA,talla para la edad (t/e),talla baja (tb),2008-01-01,5,5,5,4,10,10,20,19,39
50404,OCURI,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,1,1,0,0,1,1,2
40101,ORURO,talla para la edad (t/e),talla baja (tb),2008-01-01,45,14,30,23,24,33,99,70,169
60201,PADCAYA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,1,4,0,5,1,9,2,11
10401,PADILLA,talla para la edad (t/e),talla baja (tb),2008-01-01,1,3,4,3,19,11,24,17,41
40802,PAMPA AULLAGAS,talla para la edad (t/e),talla baja (tb),2008-01-01,4,4,11,9,9,6,24,19,43
40602,PAZÑA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,4,2,2,10,6,12,18
20702,PELECHUCO,talla para la edad (t/e),talla baja (tb),2008-01-01,0,2,4,4,2,0,6,6,12
40601,POOPO,talla para la edad (t/e),talla baja (tb),2008-01-01,0,2,1,1,0,4,1,7,8
10103,POROMA,talla para la edad (t/e),talla baja (tb),2008-01-01,28,30,45,20,55,33,128,83,211
50101,POTOSI,talla para la edad (t/e),talla baja (tb),2008-01-01,32,39,17,6,15,13,64,58,122
21201,PUCARANI,talla para la edad (t/e),talla baja (tb),2008-01-01,1,0,0,0,1,2,2,2,4
20403,PUERTO CARABUCO,talla para la edad (t/e),talla baja (tb),2008-01-01,13,15,10,9,21,23,44,47,91
31205,PUERTO VILLARROEL,talla para la edad (t/e),talla baja (tb),2008-01-01,8,7,6,4,3,2,17,13,30
31401,PUNATA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,0,0,0,2,0,2,2
30901,QUILLACOLLO,talla para la edad (t/e),talla baja (tb),2008-01-01,1,1,1,6,0,1,2,8,10
21002,QUIME,talla para la edad (t/e),talla baja (tb),2008-01-01,4,2,10,3,12,11,26,16,42
80201,RIBERALTA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,4,4,1,1,5,5,10
40901,SABAYA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,0,1,0,0,0,1,1
31001,SACABA,talla para la edad (t/e),talla baja (tb),2008-01-01,8,7,4,3,10,23,22,33,55
50701,SACACA,talla para la edad (t/e),talla baja (tb),2008-01-01,7,13,18,17,36,29,61,59,120
